rota
IVAIPORA
MANDIRITUBA
ASTORGA - SUP. SAO JOSE
"FLORAI, PARAISO DO NORTE, SAO CARLOS DO IVAI"
DOUTOR CAMARGO
SANTA ZELIA
BOM SUCESSO
CAMPO DO TENENTE
APUCARANA - VERONA
XAMBRE
LIDIANOPOLIS
ITAPERUCU
RIO BRANCO DO SUL
SENGES
FERNAO DIAS
ASTORGA - VERONA
SABAUDIA/PITANGUEIRAS
CAFELANDIA
PORTO RICO
ARAPONGAS/APUCARANA
ARA/APUCARANA
APUCARANA/JANDAIA
APUC/JANDAIA
RESERVA
CAMBE/LONDRINA
CASCAVEL/MEDIANEIRA
GUARAPUAVA/PRUDENTOPOLIS
SANTA MONICA/LOANDA
TOLEDO/CASCAVEL
UBIRATA/CASCAVEL
MARIALVA/APUCARANA
MATELANDIA
IVAIPORA/BORRAZOPOLIS
LONDRINA/APUCARANA
PARAGUACU PAULISTA
ASTORGA - SUP. ALIANCA
SERTANOPOLIS
UBIRATA/TOLEDO
TARUMA/SP
LOANDA/SANTA ISABEL DO IVAI
CAMPO MOURAO LUIZ HUMBERTO
ARAPONGAS - VERONA
CRUZEIRO DO SUL
GUARAPUAVA/LAPA
MANDAGUACU/IGUATEMI
ARAPONGAS - SUPERCENTER
ASTORGA - CASCONE
ARAPONGAS - VENEZA
ARAPONGAS - FAGOTE E SANCHES
PITANGUEIRAS/SABAUDIA-VERONA
CASCAVEL/QUEDAS DO IGUACU
PALMITAL/LARANJEIRAS DO SUL
MARINGA/AGUA MINERAL
ROLANDIA/JAGUAPITÃ
MARIALVA/MANDAGUARI
UBIRATÃ/MAMBORE
MANDAGUARI/MARIALVA
NOVA ESPERANÇA (GAZOLLA)
GOIOERE/MOREIRA SALES
ARAPONGAS/SABAUDIA(VERONA)
IPORÃ/TERRA ROXA
ANGULO/ATALAIA
SARANDI/MARINGA
VERONA(SABAUDIA/APUCARANA)
BARBOSA FERRAZ
MANOEL RIBAS
APUCARANA (M L MARTINS)
FLORESTOPOLIS/PORECATU
GUARACI(BENTOPOLIS)
JURANDA/UBIRATA
IRATI/RESERVA
RANCHO ALEGRE D OESTE
UBIRATA (JOSEMAR)
MARIALVA (BATISTA IZEPE)
ROLANDIA(SUPER COMPRA)
PEABIRU/ARARUNA
SABAUDIA (MIRIN)
NOVA LONDRINA (LUIZ HUMBERTO)
ITAJÚ/ SP
ARAUCARIA/MANDIRITUBA
LOANDA/GUAIRAÇA
PRUDENTOPOLIS/CURITIBA
MARILUZ
SANTO INACIO
UBIRATA (CASA VENCEDORA)
ARAPONGAS (MOLICENTER)
UBIRATA (ATACADO)
UBIRATA/ MEDIANEIRA
UBIRATA (VAREJO)
ROLANDIA (MJ GARCIA)
CAFELANDIA/TUPASSI
ASTORGA (MERCADO ALTO DA BOA VISTA)
NOVA AURORA/IRACEMA OESTE
CASCAVEL (SACHET)
MARIALVA/SARANDI
GOIOERE/PEABIRU
ARAPONGAS(SUPERCENTER E VERONA)
MARINGA(TURETA/REAL LAR)
