app,categorias,nome,url,recurso_menu,recurso_herdado,restricao
riob,Configurar,NF-e / Receita,/apps/riob#config:nfe,menu:70aae0b62d33937d6554f11a,config,individual
riob,Configurar,Parametros de orcamentos,/apps/riob#config:orcamentos,menu:7be8e9d3d22fa5a6d6f6e64a,config,individual
riob-email,Dashboard,Painel de e-mails,/apps/riob-email/riob/?painel=resumo,menu:f2f65336d510df5320ac6360,operacao,individual
riob-email,Cadastro,Fornecedores,/apps/riob-email/riob/fornecedores,menu:fe8f0f42e196dc717d19aba0,operacao,individual
riob-email,Monitor,Status de e-mails,/apps/riob-email/riob/?painel=status,menu:d7407f00bc36e7a0e79b3fbb,operacao,individual
riob-email,Gestao,Anexos de e-mail,/apps/riob-email/riob/anexos,menu:c201292643d527fdad27c68e,operacao,individual
riob-email,Gestao,E-mails,/apps/riob-email/riob/emails,menu:50faadbbf7df7880811e9e62,operacao,individual
riob-email,Gestao / Dados,Backup de e-mails e anexos,/apps/riob-email/riob/backup,menu:bda28c7f49bb82584cadc976,backup,individual
riob-email,Gestao / Dados,Importar historico XML,/apps/riob-email/riob/historico,menu:6111c8c5d154918aab59c289,operacao,individual
riob-email,Gestao,Recuperar conteudo,/apps/riob-email/riob/recuperar,menu:35265f11c8c6e87ddf00e657,operacao,individual
riob-email,Dados,Importar e-mails,/apps/riob-email/riob/importacao,menu:412c9c7a26daeee26167465b,operacao,individual
riob-email,Configurar,Contas de e-mail,/apps/riob-email/riob/config,menu:60ce0ecc31a91fe5e89e5b61,operacao,individual
riob-xml,Estoque,Estoque de XMLs recebidos,/apps/riob-xml/riob/estoque,menu:c3250b1ccc1e65631abd8785,*,individual
riob-xml,Estoque,Abastecimentos de XMLs recebidos,/apps/riob-xml/riob/abastecimentos,menu:749c33011a4b1814c92f2d13,*,individual
riob-xml,Gestao,Arquivos XML,/apps/riob-xml/riob/arquivos,menu:9bea2f07d917e2a7b9db4167,*,individual
riob-xml,Gestao,Revisao de abastecimentos,/apps/riob-xml/riob/abastecimentos?visao=revisao,menu:6d1bb46a63def39f0b8bb16c,*,individual
riob-xml,Dados,Importar XML,/apps/riob-xml/riob,menu:0cfe1d601acb2d63336cfd00,*,individual
riob-xml,Configurar,Configuracao da empresa,/apps/riob-xml/riob/config,menu:49303eb8bd9397b85cec61d1,*,individual
automacao,Dashboard,Dashboard Automacao,/apps/automacao/,menu:d524a650e1464c26deb0cad4,*,individual
automacao,Dashboard,Maquinas Automacao,/apps/automacao/maquinas,menu:6ebce06cc93af059375b65ea,*,individual
automacao,Cadastro,Manual-documentacao,/apps/automacao/documentacao/cadastrar,menu:6a8655474412d3fa2586d48b,documentos_cadastrar,individual
automacao,Cadastro,Equipamentos e tipos - Motores,/apps/automacao/motores,menu:f67b51a6a973328dfffe7853,*,individual
automacao,Cadastro,Equipamentos e tipos - Drivers,/apps/automacao/sensores/drivers,menu:63bccce04bb1060b0b750308,*,individual
automacao,Cadastro,Setores,/apps/automacao/setores,menu:31c62b1a1b8f97054e031884,*,individual
automacao,Monitor,Tempo real,/apps/automacao/tempo-real,menu:d72c012f848a1ccae155a8c8,*,individual
automacao,Gestao,Historico,/apps/automacao/historico,menu:fc902fdc5a68c0c669e6e376,*,individual
automacao,Gestao,Alarmes,/apps/automacao/alarmes,menu:cf7a4b695b26d8cdf35e8471,*,individual
